e
M0007
*
M0005
Pda8000000 ;ba840819Cf,10,206,40
Pda80592E3u;ba803EA8Fp,10,20C,42
Pda805A66Fu;ba803FAB4p,10,20C,42
Pda805B9FBu;ba8040DC9p,10,20C,43
Pda805CD87u;ba8041F09p,10,20C,43
Pda805E113u;ba8043162p,10,20C,43
Pda805F49Fu;ba804435Dp,10,20C,43
Pda806082Bu;ba8045614p,10,20C,43
Pda8061BB7u;ba80466F6p,10,20C,43
Pda8062F43u;ba8047DB6p,10,20C,43
Pda80642CEu;ba8049187p,10,20C,43
Pda806565Au;ba804A72Ep,10,20C,43
Pda80669E6u;ba804BBBBp,10,20C,43
Pda8067D72u;ba804D56Bp,10,20C,43
Pda80690FEu;ba804EBCEp,10,20C,43
Pda806A48Au;ba805057Ep,10,20C,43
Pda806B816u;ba8051E72p,10,20C,43
Pda806CBA2u;ba805393Cp,10,20C,43
Pda806DF2Eu;ba80552ECp,10,20C,43
Pda806F2B9u;ba8057337p,10,20C,43
Pda8070645u;ba8059035p,10,20C,43
Pda80719D1u;ba805AE4Cp,10,20C,43
Pda8072D5Du;ba805D2A0p,10,20C,43
Pda80740E9u;ba805F6F5p,10,20C,43
Pda8075475u;ba8061CC1p,10,20C,43
Pda8076801u;ba80649E4p,10,20C,43
Pda8077B8Du;ba80672FEp,10,20C,43
Pda8078F19u;ba806A36Fp,10,20C,43
Pda807A2A4u;ba806D671p,10,20C,43
Pda807B630u;ba8070FB0p,10,20C,43
Pda807C9BCu;ba8074C9Bp,10,20C,43
Pda807DD48u;ba8079544p,10,20C,44
Pda807F0D4u;ba807DB5Bp,10,20C,44
Pda8080460u;ba8082E4Ap,10,20C,44
Pda80817ECu;ba8088487p,10,20C,44
Pda8082B78u;ba808E682p,10,20C,44
Pda8083F04u;ba8094D43p,10,20C,44
Pda808528Fu;ba809C1F5p,10,20C,44
Pda808661Bu;ba80A3B6Cp,10,20C,44
Pda80879A7u;ba80ABF88p,10,20C,44
Pda8088D33u;ba80B4A3Fp,10,20C,44
Pda808A0BFu;ba80BDA77p,10,20C,44
Pda808B44Bu;ba80C714Ap,10,20C,44
Pda808C7D7u;ba80D0AAFp,10,20C,44
Pda808DB63u;ba80DA29Cp,10,20C,44
Pda808EEEFu;ba80E35C3p,10,20C,44
Pda809027Au;ba80EC773p,10,20C,44
Pda8091606u;ba80F4D65p,10,20C,44
Pda8092992u;ba80FC15Bp,10,20C,44
Pda8093D1Eu;ba8102B69p,10,20C,44
Pda80950AAu;ba8108551p,10,20C,44
Pda8096436u;ba810CC24p,10,20C,44
Pda80977C2u;ba8110739p,10,20C,44
Pda8098B4Eu;ba81133A1p,10,20C,44
Pda8099EDAu;ba811509Ep,10,20C,44
Pda809B265u;ba811652Bp,10,20C,44
Pda809C5F1u;ba811708Bp,10,20C,44
Pda809D97Du;ba811789Ep,10,20C,44
Pda809ED09u;ba8117495p,10,20C,44
Pda80A0095u;ba8117203p,10,20C,44
Pda80A1421u;ba8116D3Ep,10,20C,44
Pda80A27ADu;ba8116A4Ep,10,20C,44
Pda80A3B39u;ba81166A3p,10,20C,44
Pda80A4EC5u;ba8116701p,10,20C,44
Pda80A6250u;ba8116645p,10,20C,44
Pda80A75DCu;ba8116FCFp,10,20C,44
Pda80A8968u;ba8117840p,10,20C,44
Pda80A9CF4u;ba8118808p,10,20C,44
Pda80AB080u;ba8119A03p,10,20C,44
Pda80AC40Cu;ba811B008p,10,20C,44
Pda80AD798u;ba811C89Ep,10,20C,44
Pda80AEB24u;ba811EA03p,10,20C,44
Pda80AFEB0u;ba8120B68p,10,20C,44
Pda80B123Bu;ba81234DFp,10,20C,44
Pda80B25C7u;ba8125EB5p,10,20C,44
Pda80B3953u;ba812932Fp,10,20C,44
Pda80B4CDFu;ba812C68Fp,10,20C,44
Pda80B606Bu;ba813037Ap,10,20C,44
Pda80B73F7u;ba81339CAp,10,20C,44
Pda80B8783u;ba8138159p,10,20C,44
Pda80B9B0Fu;ba813C53Cp,10,20C,44
Pda80BAE9Bu;ba81412ABp,10,20C,44
Pda80BC226u;ba8145E43p,10,20C,44
Pda80BD5B2u;ba814B24Cp,10,20C,44
Pda80BE93Eu;ba8150A5Fp,10,20C,44
Pda80BFCCAu;ba81563E9p,10,20C,44
Pda80C1056u;ba815C6A0p,10,20C,44
Pda80C23E2u;ba8162C47p,10,20C,44
Pda80C376Eu;ba81694DDp,10,20C,44
Pda80C23E2u;ba8113BB3p,10,20C,42
Pda80C1056u;ba80EC773p,10,20C,43
Pda80BFCCAu;ba80D0358p,10,20C,43
Pda80BE93Eu;ba80B8F3Dp,10,20C,43
Pda80BD5B2u;ba80A5FC1p,10,20C,43
Pda80BC226u;ba809549Ap,10,20C,44
Pda80BAE9Bu;ba80879E3p,10,20C,43
Pda80B9B0Fu;ba807AF52p,10,20C,44
Pda80B8783u;ba807027Ap,10,20C,43
Pda80B73F7u;ba806679Ep,10,20C,44
Pda80B606Bu;ba805DEBDp,10,20C,44
Pda80B4CDFu;ba8056311p,10,20C,44
Pda80B3953u;ba804F20Bp,10,20C,44
Pda80B25C7u;ba8048C06p,10,20C,44
Pda80B123Bu;ba8042F8Cp,10,20C,44
Pda80AFEB0u;ba803DBE1p,10,20C,44
Pda80AEB24u;ba8038AC7p,10,20C,44
Pda80AD798u;ba803427Cp,10,20C,44
Pda80AC40Cu;ba802FDDDp,10,20C,44
Pda80AB080u;ba802B9F9p,10,20C,44
Pda80A9CF4u;ba8027EE4p,10,20C,44
Pda80A8968u;ba8023FC6p,10,20C,44
Pda80A75DCu;baFE0E590f,10,20C,44
Pda80A6250u;baF02B558f,14,20C,44
Pda80A4EC5u;baE1D5A40f,14,20C,44
Pda80A3B39u;baD3ADD20f,14,20C,44
Pda80A27ADu;baC525AC0f,10,209,4A
Pda80A1421u;baB557D68f,10,209,4A
Pda80A0095u;baA4EE0ACf,10,209,4A
Pda809ED09u;ba9312FB8f,10,209,4B
Pda809D97Du;baFD6DCC8a,14,209,4A
Pda809C5F1u;ba6BDC158f,10,209,4B
Pda809B265u;ba554F338f,10,209,4B
Pda8099EDAu;ba3E14020f,10,209,4B
Pda8098B4Eu;ba24E4D20f,10,209,4B
Pda80977C2u;ba09ACFE0f,10,209,4B
Pda8096436u;ba7FDA7E6p,10,209,4B
Pda80950AAu;ba7FD3100p,10,209,4B
Pda8093D1Eu;ba7FCB486p,10,209,4B
Pda8092992u;ba7FC3B5Ap,18,209,4B
Pda8091606u;ba7FBC39Cp,10,20C,44
Pda809027Au;ba7FB52F3p,10,20C,44
Pda808EEEFu;ba7FAEA5Dp,10,20C,44
Pda808DB63u;ba7FA9075p,10,20C,44
Pda808C7D7u;ba7FA3EFDp,10,20C,44
Pda808B44Bu;ba7FA02CEp,10,20C,44
Pda808A0BFu;ba7F9D319p,10,20C,44
Pda8088D33u;ba7F9B3E8p,10,20C,44
Pda80879A7u;ba7F9A18Fp,10,20C,44
Pda808661Bu;ba7F9991Ep,10,20C,44
Pda808528Fu;ba7F99C6Cp,10,20C,44
Pda8083F04u;ba7F9AB19p,10,20C,44
Pda8082B78u;ba7F9BD73p,10,20C,44
Pda80817ECu;ba7F9D433p,10,20C,44
Pda8080460u;ba7F9F075p,10,20C,44
Pda807F0D4u;ba7FA0CB7p,10,20C,44
Pda807DD48u;ba7FA2B8Ap,10,20C,44
Pda807C9BCu;ba7FA476Ep,10,20C,44
Pda807B630u;ba7FA67B9p,10,20C,44
Pda807A2A4u;ba7FA8283p,10,20C,44
Pda8078F19u;ba7FA9E66p,10,20C,44
Pda8077B8Du;ba7FABC7Ep,10,20C,44
Pda8076801u;ba7FAD2E0p,10,20C,43
Pda8075475u;ba7FAE8E5p,10,20C,44
Pda80740E9u;ba7FB0351p,10,20C,43
Pda8072D5Du;ba7FB183Cp,10,20C,43
Pda80719D1u;ba7FB29D9p,10,20C,43
Pda8070645u;ba7FB41B4p,10,20C,43
Pda806F2B9u;ba7FB4FA5p,10,20C,43
Pda806DF2Eu;ba7FB6029p,10,20C,43
Pda806CBA2u;ba7FB6F93p,10,20C,43
Pda806B816u;ba7FB7E40p,10,20C,43
Pda806A48Au;ba7FB89FEp,10,20C,43
Pda80690FEu;ba7FB96D7p,10,20C,43
Pda8067D72u;ba7FBA295p,10,20C,43
Pda80669E6u;ba7FBAEB1p,10,20C,43
Pda806565Au;ba7FBB899p,10,20C,43
Pda80642CEu;ba7FBC3FAp,10,20C,43
Pda8062F43u;ba7FBCA95p,10,20C,43
Pda8061BB7u;ba7FBD597p,10,20C,43
Pda806082Bu;ba7FBDE08p,10,20C,43
Pda805F49Fu;ba7FBE5BDp,10,20C,43
Pda805E113u;ba7FBEE2Dp,10,20C,43
Pda805CD87u;ba7FBF526p,10,20C,43
Pda805B9FBu;ba7FBFB05p,10,20C,43
Pda805A66Fu;ba7FC04EEp,10,20C,43
Pda80592E3u;ba7FC0A6Fp,10,20C,43
Pda8057F58u;ba7FC11C6p,10,20C,43
Pda8056BCCu;ba7FC197Bp,10,20C,43
Pda8055840u;ba7FC1FB8p,10,20C,43
Pda80544B4u;ba7FC26B1p,10,20C,43
Pda8053128u;ba7FC2D4Cp,10,20C,43
Pda8051D9Cu;ba7FC32CDp,10,20C,43
Pda8050A10u;ba7FC3792p,10,20C,43
Pda804F684u;ba7FC3E8Bp,10,20C,43
Pda804E2F8u;ba7FC45E2p,10,20C,43
Pda804CF6Du;ba7FC4AA7p,10,20C,43
Pda804BBE1u;ba7FC4FCAp,10,20C,43
Pda804A855u;ba7FC554Cp,10,20C,42
Pda80494C9u;ba7FC5B2Bp,10,20C,42
Pda804813Du;ba7FC604Ep,10,20C,42
Pda8046DB1u;ba7FC63F9p,10,20C,42
Pda8045A25u;ba7FC6803p,10,20C,42
Pda8044699u;ba7FC6D26p,10,20C,42
Pda804330Du;ba7FC7073p,10,20C,42
Pda8041F82u;ba7FC7597p,10,20C,42
Pda8040BF6u;ba7FC78E4p,10,20C,42
Pda803F86Au;ba7FC7E65p,10,20C,42
Pda803E4DEu;ba7FC826Fp,10,20C,42
Pda803D152u;ba7FC855Ep,10,20C,42
Pda803BDC6u;ba7FC890Ap,10,20C,42
Pda803AA3Au;ba7FC8D71p,10,20C,42
Pda80396AEu;ba7FC90BEp,10,20C,42
Pda8038322u;ba7FC940Cp,10,20C,42
Pda8036F97u;ba7FC97B7p,10,20C,42
Pda8035C0Bu;ba7FC9D39p,10,20C,42
Pda803487Fu;ba7FCA028p,10,20C,42
Pda80334F3u;ba7FCA665p,10,20C,42
Pda8032167u;ba7FCA955p,10,20C,42
Pda8030DDBu;ba7FCAF34p,10,20C,42
Pda802FA4Fu;ba7FCB33Dp,10,20C,41
Pda802E6C3u;ba7FCB9D8p,10,20C,42
Pda802D337u;ba7FCBDE2p,10,20C,41
Pda802BFACu;ba7FCC47Dp,10,20C,41
Pda802AC20u;ba7FCC8E4p,10,20C,41
Pda8029894u;ba7FCCE65p,10,20C,41
Pda8028508u;ba7FCD444p,10,20C,41
Pda802717Cu;ba7FCDA23p,10,20C,41
Pda8025DF0u;ba7FCDC57p,10,20C,41
Pda8024A64u;ba7FCE526p,10,20C,41
Pda80236D8u;ba7FCE759p,10,20C,41
Pda802234Cu;ba7FCED38p,10,20C,41
Pda8020FC1u;ba7FCF028p,10,20C,41
PdaFC12F88n;ba7FCF77Fp,10,20C,41
PdaF74D520n;ba7FCF955p,10,20C,41
PdaF287AA8n;ba7FD004Dp,10,20C,41
PdaEDC2038n;ba7FD0457p,10,20C,41
PdaE8FC5C0n;ba7FD097Ap,10,20C,41
PdaE436B58n;ba7FD0CC8p,10,20C,40
PdaDF710E0n;ba7FD141Ep,10,20C,40
PdaDAAB670n;ba7FD16B0p,10,20C,40
PdaD5E5BF8n;ba7FD1C31p,10,20C,40
PdaD120190n;ba7FD1F7Fp,10,20C,40
PdaCC5A718n;ba7FD261Ap,10,20C,40
PdaC794CA8n;ba7FD2967p,10,20C,40
PdaC2CF238n;ba7FD2F46p,10,20C,40
PdaBE097C4n;ba7FD33AEp,10,20C,40
PdaB943D54n;ba7FD3815p,10,20C,40
PdaB47E2E0n;ba7FD3B62p,10,20C,40
PdaAFB8870n;ba7FD42B9p,10,20C,40
PdaAAF2DFCn;ba7FD448Fp,10,20C,40
PdaA62D38Cn;ba7FD4A10p,10,20C,40
PdaA16791Cn;ba7FD4E1Ap,10,20C,40
Pda9CA1EAAn;ba7FD52DFp,10,20C,40
Pda97DC438n;ba7FD53F9p,10,20C,40
Pda93169C6n;ba7FD5B50p,10,20C,40
Pda8E50F55n;ba7FD5E9Dp,10,20C,40
Pda898B4E3n;ba7FD62A6p,10,20C,40
Pda84C5A71n;ba7FD65F4p,10,20C,40
Pda8000000 ;ba7FD6B75p,10,20C,40
Pda7B3A58Fn;ba7FD6DA9p,10,20C,40
Pda7674B1Dn;ba7FD70F6p,10,20C,40
Pda71AF0ABn;ba7FD732Ap,10,20C,40
Pda6CE963An;ba7FD77EFp,10,20C,40
Pda6823BC8n;ba7FD7A81p,10,20C,40
Pda635E156n;ba7FD7D12p,10,20C,40
Pda5E986E4n;ba7FD7F46p,10,20C,40
Pda59D2C74n;ba7FD834Fp,10,20C,40
Pda550D204n;ba7FD8469p,10,20C,40
Pda5047790n;ba7FD87B7p,10,20C,40
Pda4B81D20n;ba7FD898Dp,10,20C,40
Pda46BC2ACn;ba7FD8DF4p,10,20C,40
Pda41F683Cn;ba7FD8D96p,10,20C,40
Pda3D30DC8n;ba7FD9141p,10,20C,40
Pda386B358n;ba7FD919Fp,10,20C,40
Pda33A58E8n;ba7FD93D3p,10,20C,40
Pda2EDFE70n;ba7FD9431p,10,20C,40
Pda2A1A408n;ba7FD9720p,10,20C,40
Pda2554990n;ba7FD97DCp,10,20C,40
Pda208EF20n;ba7FD9954p,10,20C,40
Pda1BC94A8n;ba7FD9A6Ep,10,20C,40
Pda1703A40n;ba7FD9A6Ep,10,20C,40
Pda123DFC8n;ba7FD9BE6p,10,20C,40
Pda0D78558n;ba7FD9CA2p,10,20C,40
Pda08B2AE0n;ba7FD9C44p,10,20C,40
Pda03ED078n;ba7FD9D5Ep,10,20C,40
Pda7FDF03Fu;ba7FD9C44p,10,20C,40
Pda7FDDCB4u;ba7FD9D5Ep,10,20C,40
Pda7FDC928u;ba7FD9D00p,10,20C,40
Pda7FDB59Cu;ba7FD9D00p,10,20C,40
Pda7FDA210u;ba7FD9C44p,10,20C,40
Pda7FD8E84u;ba7FD9D00p,10,20C,40
Pda7FD7AF8u;ba7FD9ACCp,10,20C,40
Pda7FD676Cu;ba7FD9B2Ap,10,20C,40
Pda7FD53E0u;ba7FD99B2p,10,20C,40
Pda7FD4054u;ba7FD99B2p,10,20C,40
Pda7FD2CC9u;ba7FD9898p,10,20C,40
Pda7FD193Du;ba7FD98F6p,10,20C,40
Pda7FD05B1u;ba7FD96C3p,10,20C,40
Pda7FCF225u;ba7FD96C3p,10,20C,40
Pda7FCDE99u;ba7FD9431p,10,20C,40
Pda7FCCB0Du;ba7FD9431p,10,20C,40
Pda7FCB781u;ba7FD9317p,10,20C,40
Pda7FCA3F5u;ba7FD9141p,10,20C,40
Pda7FC9069u;ba7FD90E3p,10,20C,40
Pda7FC7CDEu;ba7FD90E3p,10,20C,40
Pda7FC6952u;ba7FD8E52p,10,20C,40
Pda7FC55C6u;ba7FD8E52p,10,20C,40
Pda7FC423Au;ba7FD8CDAp,10,20C,40
Pda7FC2EAEu;ba7FD8C7Cp,10,20C,40
Pda7FC1B22u;ba7FD8BC0p,10,20C,40
Pda7FC0796u;ba7FD8BC0p,10,20C,40
Pda7FBF40Au;ba7FD88D1p,10,20C,40
Pda7FBE07Eu;ba7FD898Dp,10,20C,40
Pda7FBCCF3u;ba7FD86FBp,10,20C,40
Pda7FBB967u;ba7FD8759p,10,20C,40
Pda7FBA5DBu;ba7FD863Fp,10,20C,40
Pda7FB924Fu;ba7FD863Fp,10,20C,40
Pda7FB7EC3u;ba7FD84C7p,10,20C,40
Pda7FB6B37u;ba7FD8469p,10,20C,40
Pda7FB57ABu;ba7FD83ADp,10,20C,40
Pda7FB441Fu;ba7FD840Bp,10,20C,40
Pda7FB3093u;ba7FD834Fp,10,20C,40
Pda7FB1D08u;ba7FD8294p,10,20C,40
Pda7FB097Cu;ba7FD811Cp,10,20C,40
Pda7FAF5F0u;ba7FD81D8p,10,20C,40
Pda7FAE264u;ba7FD80BEp,10,20C,40
Pda7FACED8u;ba7FD80BEp,10,20C,40
Pda7FABB4Cu;ba7FD8060p,10,20C,40
Pda7FAA7C0u;ba7FD8002p,10,20C,40
Pda7FA9434u;ba7FD7F46p,10,20C,40
Pda7FA80A8u;ba7FD7FA4p,10,20C,40
Pda7FA6D1Du;ba7FD7EE8p,10,20C,40
Pda7FA5991u;ba7FD7F46p,10,20C,40
Pda7FA4605u;ba7FD7E8Ap,10,20C,40
Pda7FA3279u;ba7FD7E8Ap,10,20C,40
Pda7FA1EEDu;ba7FD7C57p,10,20C,40
Pda7FA0B61u;ba7FD7C57p,10,20C,40
Pda7F9F7D5u;ba7FD7A23p,10,20C,40
Pda7F9E449u;ba7FD7C57p,10,20C,40
Pda7F9D0BDu;ba7FD79C5p,10,20C,40
Pda7F9BD32u;ba7FD7967p,10,20C,40
Pda7F9A9A6u;ba7FD78ABp,10,20C,40
Pda7F9961Au;ba7FD78ABp,10,20C,40
Pda7F9828Eu;ba7FD7791p,10,20C,40
Pda7F96F02u;ba7FD7733p,10,20C,40
Pda7F95B76u;ba7FD755Ep,10,20C,40
Pda7F947EAu;ba7FD74A2p,10,20C,40
Pda7F9345Eu;ba7FD726Ep,10,20C,40
Pda7F920D2u;ba7FD7154p,10,20C,40
Pda7F90D47u;ba7FD7098p,10,20C,40
Pda7F8F9BBu;ba7FD6E65p,10,20C,40
Pda7F8E62Fu;ba7FD6CEDp,10,20C,40
Pda7F8D2A3u;ba7FD6B75p,10,20C,40
Pda7F8BF17u;ba7FD6941p,10,20C,40
Pda7F8AB8Bu;ba7FD66B0p,10,20C,40
Pda7F897FFu;ba7FD6652p,10,20C,40
Pda7F88473u;ba7FD641Ep,10,20C,40
Pda7F870E7u;ba7FD6073p,10,20C,40
Pda7F85D5Cu;ba7FD5EFBp,10,20C,40
Pda7F849D0u;ba7FD5C0Bp,10,20C,40
Pda7F83644u;ba7FD5A36p,10,20C,40
Pda7F822B8u;ba7FD56E8p,10,20C,40
Pda7F80F2Cu;ba7FD5457p,10,20C,40
Pda7F7FBA0u;ba7FD504Dp,10,20C,40
Pda7F7E814u;ba7FD4E78p,10,20C,40
Pda7F7D488u;ba7FD4B88p,10,20C,40
Pda7F7C0FCu;ba7FD477Fp,10,20C,40
Pda7F7AD71u;ba7FD454Bp,10,20C,40
Pda7F799E5u;ba7FD41FDp,10,20C,40
Pda7F78659u;ba7FD3E52p,10,20C,40
Pda7F772CDu;ba7FD39EBp,10,20C,40
Pda7F75F41u;ba7FD369Dp,10,20C,40
Pda7F74BB5u;ba7FD31D8p,10,20C,40
Pda7F73829u;ba7FD2EE8p,10,20C,40
Pda7F7249Du;ba7FD2A81p,10,20C,40
Pda7F71111u;ba7FD26D6p,10,20C,40
Pda7F6FD86u;ba7FD226Ep,10,20C,40
Pda7F6E9FAu;ba7FD1CEDp,10,20C,40
Pda7F6D66Eu;ba7FD18E4p,10,20C,40
Pda7F6C2E2u;ba7FD14DAp,10,20C,40
Pda7F6AF56u;ba7FD1015p,10,20C,40
Pda7F69BCAu;ba7FD0B50p,10,20C,40
Pda7F6883Eu;ba7FD068Bp,10,20C,40
Pda7F674B2u;ba7FD0223p,10,20C,40
Pda7F66126u;ba7FCFCA2p,10,20C,40
Pda7F64D9Bu;ba7FCF899p,10,20C,40
Pda7F63A0Fu;ba7FCF25Cp,10,20C,40
Pda7F62683u;ba7FCECDAp,10,20C,40
Pda7F612F7u;ba7FCE759p,10,20C,40
Pda7F5FF6Bu;ba7FCE236p,10,20C,40
Pda7F5EBDFu;ba7FCDDCFp,10,20C,40
Pda7F5D853u;ba7FCD792p,10,20C,40
Pda7F5C4C7u;ba7FCD1B3p,10,20C,40
Pda7F5B13Bu;ba7FCC9FEp,10,20C,40
Pda7F59DB0u;ba7FCC3C1p,10,20C,40
Pda7F58A24u;ba7FCBE9Dp,10,20C,40
Pda7F57698u;ba7FCB571p,10,20C,40
Pda7F5630Cu;ba7FCB1C5p,10,20C,40
Pda7F54F80u;ba7FCAA11p,10,20C,40
Pda7F53BF4u;ba7FCA2BAp,10,20C,40
Pda7F52868u;ba7FC9AA7p,10,20C,40
Pda7F514DCu;ba7FC94C8p,10,20C,40
Pda7F50150u;ba7FC8CB5p,10,20C,40
Pda7F4EDC5u;ba7FC8792p,10,20C,40
Pda7F4DA39u;ba7FC80F7p,10,20C,40
Pda7F4C6ADu;ba7FC78E4p,10,20C,40
Pda7F4B321u;ba7FC70D1p,10,20C,40
Pda7F49F95u;ba7FC69D8p,10,20C,40
Pda7F48C09u;ba7FC6513p,10,20C,40
Pda7F4787Du;ba7FC5D5Ep,10,20C,40
Pda7F464F1u;ba7FC54EEp,10,20C,40
Pda7F45165u;ba7FC5028p,10,20C,40
Pda7F43DDAu;ba7FC469Ep,10,20C,40
Pda7F42A4Eu;ba7FC42F2p,10,20C,40
Pda7F416C2u;ba7FC39C6p,10,20C,40
Pda7F40336u;ba7FC3445p,10,20C,40
Pda7F3EFAAu;ba7FC2B18p,10,20C,40
Pda7F3DC1Eu;ba7FC25F5p,10,20C,40
Pda7F3C892u;ba7FC1DE2p,10,20C,40
Pda7F3DC1Eu;ba7FCFCA2p,10,20C,40
Pda7F3EFAAu;ba7FD73E6p,10,20C,40
Pda7F40336u;ba7FDCCB4p,10,20C,40
Pda7F416C2u;ba06835E0f,10,20C,40
Pda7F42A4Eu;ba14D90F0f,14,20C,40
Pda7F43DDAu;ba1FDE228f,14,20C,40
Pda7F45165u;ba2A87780f,14,20C,40
Pda7F464F1u;ba330A588f,10,209,45
Pda7F4787Du;ba3B039D0f,10,209,45
Pda7F48C09u;ba419BAB8f,10,209,45
Pda7F49F95u;ba487AD40f,10,209,44
Pda7F4B321u;ba4E2FD2Cf,10,209,45
Pda7F4C6ADu;ba537FE70f,10,209,44
Pda7F4DA39u;ba5836504f,10,209,45
Pda7F4EDC5u;ba5C2C10Cf,10,209,45
Pda7F50150u;ba60AB6E6f,10,209,44
Pda7F514DCu;ba64CCC2Ef,10,209,45
Pda7F52868u;ba6848F48f,10,209,45
Pda7F53BF4u;ba6B772AEf,10,209,45
Pda7F54F80u;ba6E42C1Ef,10,209,45
Pda7F5630Cu;ba717A250f,10,209,45
Pda7F57698u;ba73E7B2Cf,10,209,45
Pda7F58A24u;ba77038FFf,14,209,44
Pda7F59DB0u;ba794C6B6f,14,209,44
Pda7F5B13Bu;ba7C0C8AAf,14,209,45
Pda7F5C4C7u;ba86CF552f,10,206,4D
Pda7F5D853u;ba88BEF86f,10,206,4D
Pda7F5EBDFu;ba8AD523Cf,10,206,4D
Pda7F5FF6Bu;ba8C5FA1Bf,10,206,4D
Pda7F612F7u;ba8E44F2Cf,10,206,4D
Pda7F62683u;ba8FF372Df,10,206,4C
Pda7F63A0Fu;ba9188F32f,10,206,4D
Pda7F64D9Bu;ba93086EAf,10,206,4C
Pda7F66126u;ba9483540f,10,206,4C
Pda7F674B2u;ba95F807Ef,10,206,4C
Pda7F6883Eu;ba9737860f,12,206,4C
Pda7F69BCAu;ba9128296f,10,209,45
Pda7F6AF56u;ba9290400f,10,209,45
Pda7F6C2E2u;ba9423EA8f,10,209,44
Pda7F6D66Eu;ba94E4932f,10,209,44
Pda7F6E9FAu;ba96EF816f,10,209,44
Pda7F6FD86u;ba97A948Cf,10,209,44
Pda7F71111u;ba98F824Af,10,209,44
Pda7F7249Du;ba99E4612f,10,209,44
Pda7F73829u;ba9B91466f,10,209,44
Pda7F74BB5u;ba9C341E0f,10,209,44
Pda7F75F41u;ba9D979E4f,10,209,44
Pda7F772CDu;ba9E48390f,10,209,44
Pda7F78659u;ba9FAE046f,10,209,44
Pda7F799E5u;baA073434f,10,209,44
Pda7F7AD71u;baA18B13Cf,10,209,44
Pda7F7C0FCu;baA1E6D1Cf,10,209,44
Pda7F7D488u;baA368230f,10,209,45
Pda7F7E814u;baA414274f,10,209,44
